,sensor_time,magx,magy,magz
0,6378.0,0.20706,-0.45164,-0.5514600000000001
1,6479.0,0.20454,-0.4557,-0.55216
2,6581.0,0.20202,-0.45206,-0.5563600000000001
3,6682.0,0.2023,-0.45136000000000004,-0.55776
4,6784.0,0.20622,-0.45388,-0.553
5,6885.0,0.2058,-0.4536,-0.55734
6,6986.0,0.20285999999999998,-0.44982,-0.55972
7,7088.0,0.20818000000000003,-0.45443999999999996,-0.5542600000000001
8,7189.0,0.2009,-0.448,-0.55272
9,7291.0,0.20664000000000002,-0.45346000000000003,-0.5544
10,7392.0,0.20328,-0.4508,-0.55006
11,7494.0,0.21014000000000002,-0.45836000000000005,-0.5537
12,7595.0,0.20132,-0.45402,-0.5481
13,7697.0,0.20076,-0.45471999999999996,-0.5467
14,7798.0,0.20118,-0.45583999999999997,-0.55174
15,7899.0,0.20692,-0.45836000000000005,-0.5544
16,8001.0,0.20384000000000002,-0.4543,-0.55594
17,8102.0,0.20761999999999997,-0.45374,-0.54782
18,8204.0,0.20636,-0.45374,-0.5514600000000001
19,8305.0,0.20398,-0.45682,-0.55048
20,8407.0,0.20622,-0.45443999999999996,-0.55398
21,8508.0,0.20874,-0.45696000000000003,-0.55384
22,8610.0,0.20565999999999998,-0.45108000000000004,-0.5514600000000001
23,8711.0,0.20734,-0.4564,-0.5545399999999999
24,8812.0,0.20454,-0.45192,-0.5537
25,8914.0,0.20608,-0.45261999999999997,-0.5525800000000001
26,9015.0,0.20398,-0.45528,-0.5495
27,9117.0,0.20761999999999997,-0.4571,-0.54992
28,9218.0,0.21195999999999998,-0.45121999999999995,-0.5558
29,9320.0,0.20748000000000003,-0.45024,-0.55118
30,9421.0,0.20706,-0.45668000000000003,-0.5492199999999999
31,9523.0,0.20272,-0.45261999999999997,-0.54474
32,9624.0,0.20594,-0.45276000000000005,-0.53956
33,9725.0,0.20692,-0.45108000000000004,-0.55216
34,9827.0,0.20398,-0.45318,-0.55048
35,9928.0,0.2037,-0.45443999999999996,-0.54852
36,10030.0,0.2016,-0.4529,-0.55412
37,10131.0,0.20454,-0.45724,-0.54502
38,10233.0,0.1981,-0.45121999999999995,-0.54838
39,10334.0,0.20215999999999998,-0.45052,-0.55692
40,10436.0,0.20062,-0.45556,-0.5514600000000001
41,10537.0,0.20748000000000003,-0.45332,-0.5481
42,10639.0,0.2016,-0.45093999999999995,-0.54096
43,10740.0,0.20454,-0.45066000000000006,-0.5418
44,10841.0,0.2016,-0.45388,-0.54474
45,10943.0,0.19796,-0.45206,-0.5503399999999999
46,11044.0,0.20678000000000002,-0.45346000000000003,-0.54418
47,11146.0,0.20257999999999998,-0.45933999999999997,-0.54964
48,11247.0,0.20538,-0.45878,-0.54432
49,11349.0,0.2016,-0.45878,-0.54908
50,11450.0,0.20622,-0.46102,-0.55342
51,11552.0,0.2009,-0.4571,-0.5481
52,11653.0,0.20608,-0.46171999999999996,-0.54782
53,11754.0,0.20188,-0.46452,-0.54376
54,11856.0,0.17472000000000001,-0.4452,-0.5516
55,11957.0,0.17794000000000001,-0.39536,-0.60256
56,12059.0,0.21378000000000003,-0.41341999999999995,-0.6328
57,12160.0,0.2289,-0.43792,-0.63602
58,12262.0,0.24864,-0.44254,-0.65422
59,12363.0,0.2667,-0.43806000000000006,-0.71246
60,12465.0,0.3535,-0.42923999999999995,-0.9109799999999999
61,12566.0,0.51758,-0.37716,-1.39048
62,12667.0,0.51366,-0.47138,-2.01152
63,12769.0,0.62748,-0.56434,-3.4430199999999997
64,12870.0,1.61028,-0.81718,-4.58752
65,12972.0,4.30794,-2.6138,-4.58752
66,13073.0,4.5873800000000005,-4.5871,-4.58752
67,13175.0,4.5873800000000005,-4.5871,-4.58752
68,13276.0,4.5873800000000005,-4.5871,-4.58752
69,13378.0,-4.5871,4.5873800000000005,-4.58752
70,13479.0,-4.5871,4.5873800000000005,-4.58752
